Lag,M,V,O,F,GM,IM,MS,P
Villa Lidköping BK,12,10,2,0,82,28,54,22
Västerås SK,12,7,2,3,65,39,26,16
Sandvikens AIK,12,5,4,3,54,45,9,14
IFK Motala,12,7,0,5,49,41,8,14
Edsbyns IF,12,6,2,4,48,41,7,14
Bollnäs GoIF,12,6,1,5,49,52,-3,13
Brobergs IF,12,4,4,4,60,57,3,12
Hammarby IF,12,5,1,6,53,64,-11,11
GripenTrollhättan BK,12,4,2,6,34,43,-9,10
Vetlanda BK,12,4,2,6,48,61,-13,10
Frillesås BK,12,3,2,7,38,64,-26,8
IFK Vänersborg,12,3,1,8,47,58,-11,7
IK Sirius,12,2,1,9,32,66,-34,5
