event,time
del,0:35:28
utkast sirius z8,0:35:30
bolltapp passförösk sirius z3,0:35:45
utkast edsbyn z1,0:35:48
närkamp sirius z6,0:35:58
närkamp edsbyn z2,0:36:10
skott räddnign edsbyn z8,0:36:30
skottyp utifrån edsbyn z8,0:36:37
hörna edsbyn z9,0:36:42
edsbyn z8 skott utanför,0:36:54
skottyp fast edsbyn z8,0:36:58
utkast sirius ,0:37:03
passning straffområde sirius z2,0:37:24
brytning edsbyn z2,0:37:31
närkamp sriisu z8,0:37:42
rensning sirius z8,0:38:06
passning lång edsbyn z8,0:38:12
utkast sirius z9,0:38:17
skott täckt sirius z2,0:38:28
skottyp centralt z2 sirius ,0:38:33
boll sirius ,0:38:40
närkamp sriius z1,0:38:47
brytning edsbyn z6,0:39:04
frislag sirius z6,0:39:19
edsbyn närkamp z6,0:39:23
närkamp sirius z8,0:39:27
passning lång sirius z2,0:39:35
utkast edsbyn z2,0:39:39
näörkamp sirius z5,0:39:46
närkamo esdnyn z5,0:39:54
skott utanför edsbyn z8,0:39:58
skottyp utifrån edsbyn z8,0:40:02
utkast sirius z7,0:40:05
frislag sirius z3,0:40:21
närkamp edsny z6,0:40:48
passning straffområde edsbyn z8,0:40:15
skoty utanför edsbyn z8,0:40:22
skottyp inlägg edsbyn z8,0:40:30
utkast sirius z7,0:40:32
närkamp edsbyn z1,0:40:39
utkast sirius z9,0:41:06
skott utanför sirius z2,0:41:19
skottyp utifrån sriius z2,0:41:22
boll edsbyn ,0:41:25
närkamp sirius z8,0:41:32
närkamp edsbyn z6,0:41:39
frislag edsbyn z7,0:41:56
passning straffområde edsbyn z8,0:42:08
hörna edsbyn z9,0:42:11
edsbyn z8 skott täckt ,0:42:36
skottyp fast edsbyn z8,0:42:39
närkamp edsbyn z5,0:42:46
härna edsbyn z9,0:42:59
edsbyn z8 skott räddnign ,0:43:18
edsbyn skottyp fast z8,0:43:23
rensning sirius ,0:43:26
skott edsbyn z8 utanför ,0:43:31
skottyp utifrån edsbyn z8,0:43:35
utkast sirius z7,0:43:39
rensning sirius ,0:43:49
boll edsbyn ,0:43:52
närkamp sirius z4,0:43:55
frislag sirius z1,0:44:05
passning straffområde sirius z2,0:44:19
utkats edsbyn z3,0:44:23
skott räddning edsbyn z8,0:44:43
skottyp utifrån sriisu z8,0:44:47
utkast siirus ,0:44:49
närkamp edsbyn ,0:44:55
del,0:45:00
närkamp edsbyn z4,0:45:02
skott utanför edsbyn z8,0:45:09
skottyp utifrån edsbyn z8,0:45:17
utkast sirius ,0:45:19
närkamp z1 edsbyn ,0:45:28
passning lång edsbyn z8,0:45:48
utkast sirius z2,0:46:02
utkast seidsnt z5,0:46:05
närkamp sirius z5,0:46:12
närkamp edsnnyn z5,0:46:15
mål straffområde edsbyn z8,0:46:27
skottyp centralt edsbyn z8,0:46:32
avslag sirius ,0:46:39
stop,0:46:43
