time,team,event,subevent,zone
0:00:00,iks,,avslag,0,z5
0:00:13,bro,närkamp,0,z6
0:00:26,bro,passning,straffområde,z8
0:00:31,bro,skott,räddning,z8
0:00:36,bro,skottyp,inlägg,0
0:00:44,bro,skott,räddning,z8
0:00:50,bro,skottyp,retur,0
0:00:57,iks,,utkast,0,0
0:01:05,iks,,bolltapp,tappad,0
0:01:18,bro,mål,spelmål,z8
0:01:23,bro,skottyp,utifrån,0
0:01:28,iks,,avslag,0,z5
0:01:58,iks,,frislag,0,z3
0:02:12,bro,närkamp,0,z2
0:02:15,iks,,närkamp,0,z3
0:02:26,bro,närkamp,0,z2
0:02:49,bro,hörna,0,z7
0:03:12,bro,skott,utanför,z8
0:03:17,bro,skottyp,fast,z8
0:03:20,iks,,utkast,0,0
0:03:49,iks,,frislag,0,z1
0:04:02,iks,,skott,utanför,z1
0:04:10,iks,,skottyp,utifrån,z1
0:04:12,bro,utkast,0,z1
0:04:28,bro,passning,lång,z8
0:04:33,iks,,utkast,0,0
0:04:47,iks,,frislag,0,z1
0:05:03,iks,,passning,straffområde,z2
0:05:13,iks,,närkamp,0,z5
0:05:25,bro,brytning,0,z6
0:05:35,bro,närkamp,0,z8
0:05:38,iks,,närkamp,0,z8
0:05:53,iks,,skott,räddning,z2
0:06:01,iks,,skottyp,utifrån,z2
0:06:09,bro,utvisning,10,0
0:06:14,iks,,hörna,0,z3
0:06:42,iks,,skott,utanför,z2
0:06:46,iks,,skottyp,fast,z2
0:06:50,bro,utkast,0,z3
0:07:04,bro,hörna,0,z7
0:07:29,bro,skott,täckt,z8
0:07:33,bro,skottyp,fast,z8
0:07:38,iks,,utkast,0,z9
0:07:52,bro,brytning,0,z1
0:08:01,bro,skott,utanför,z8
0:08:07,bro,skottyp,utifrån,z8
0:08:10,iks,,utkast,0,z9
0:08:20,iks,,bolltapp,tappad,z4
0:08:57,bro,närkamp,0,z8
0:09:05,iks,,närkamp,0,z8
0:09:56,iks,,passning,straffområde,z2
0:10:00,bro,närkamp,0,z2
0:10:07,iks,,närkamp,0,z4
0:10:48,iks,,skott,räddning,z2
0:10:52,iks,,skottyp,utifrån,z2
0:10:54,bro,utkast,0,0
0:11:08,bro,hörna,0,z9
0:11:29,bro,skott,utanför,z8
0:11:34,bro,skottyp,fast,z8
0:11:39,iks,,utkast,0,z7
0:11:47,iks,,närkamp,0,z6
0:12:47,iks,,passning,straffområde,z2
0:12:53,bro,utkast,0,z3
0:13:37,bro,närkamp,0,z5
0:13:54,bro,passning,lång,z8
0:13:57,iks,,utkast,0,z6
0:14:13,bro,närkamp,0,z5
0:14:20,iks,,närkamp,0,z5
0:14:25,iks,,passning,lång,z2
0:14:28,iks,,skott,utanför,0
0:14:36,iks,,skottyp,centralt,z2
0:14:59,bro,utkast,0,z3
0:15:04,bro,närkamp,0,z8
0:15:18,iks,,närkamp,0,z8
0:15:36,bro,utkast,0,z8
0:16:04,iks,,närkamp,0,z4
0:16:08,bro,frislag,0,z4
0:16:30,bro,passning,straffområde,z8
0:16:36,bro,hörna,0,z7
0:16:56,bro,skott,utanför,z2
0:17:00,bro,skottyp,fast,z2
0:17:07,iks,,boll,0,0
0:17:23,iks,,passning,straffområde,z2
0:17:29,iks,,skott,utanför,z2
0:17:46,iks,,skottyp,centralt,z2
0:17:50,bro,utkast,0,0
0:17:57,iks,,närkamp,0,0
0:18:09,bro,brytning,0,z2
0:18:18,iks,,närkamp,0,z6
0:18:25,bro,närkamp,0,z6
0:18:29,iks,,närkamp,0,z8
0:18:58,iks,,passning,straffområde,z2
0:19:03,bro,rensning,0,z2
0:19:09,iks,,boll,0,0
0:19:52,iks,,passning,lång,z2
0:20:10,iks,,skott,räddning,z2
0:20:27,iks,,skottyp,friställande,z2
0:20:31,iks,,närkamp,0,z1
0:20:25,iks,,bolltapp,tappad,0
0:20:37,bro,mål,spelmål,z8
0:20:51,bro,skottyp,centralt,z8
0:21:09,iks,,avslag,0,z5
0:21:35,iks,,närkamp,0,z5
0:21:50,iks,,närkamp,0,z5
0:22:22,iks,,passning,lång,z2
0:22:29,bro,närkamp,0,z2
0:22:32,iks,,närkamp,0,z6
0:22:57,iks,,hörna,0,z1
0:23:28,iks,,mål,hörnmål,z2
0:23:36,iks,,skottyp,fast,z2
0:23:54,bro,avslag,0,z2
0:24:20,bro,närkamp,0,z4
0:24:32,bro,frislag,0,0
0:24:49,bro,passning,lång,z2
0:25:27,iks,,brytning,0,z8
0:25:36,iks,,närkamp,0,z4
0:25:39,iks,,offside,0,z2
0:25:42,bro,boll,0,z2
0:26:18,iks,,brytning,0,z5
0:26:27,iks,,skott,utanför,z2
0:26:30,iks,,skottyp,utifrån,z2
0:26:34,bro,utkast,0,0
0:26:44,bro,skott,täckt,z8
0:26:49,bro,skottyp,centralt,0
0:26:54,iks,,boll,0,0
0:26:59,iks,,skott,räddning,z2
0:27:02,iks,,skottyp,centralt,z2
0:27:05,bro,utkast,0,0
0:27:10,bro,närkamp,0,0
0:27:17,bro,skott,räddning,z8
0:27:23,bro,skottyp,dribbling,z8
0:27:26,iks,,utkast,0,0
0:27:31,bro,närkamp,0,z6
0:28:15,iks,,timeout,0,0
0:29:41,bro,inslag,0,z6
0:29:49,bro,passning,lång,z7
0:30:16,bro,passning,straffområde,z8
0:30:26,bro,mål,spelmål,z8
0:30:32,bro,skottyp,inlägg,z8
0:30:34,iks,,avslag,0,0
0:30:44,iks,,passning,straffområde,0
0:30:51,iks,,inslag,0,0
0:31:07,iks,,närkamp,0,0
0:31:14,iks,,passning,straffområde,z2
0:31:18,iks,,boll,0,0
0:31:25,iks,,närkamp,0,z5
0:31:31,bro,närkamp,0,z1
0:31:43,0,stop,0,0
