event,time
närkamp edsbyn z2,0:32:15
närkamp sirius z8,0:32:26
frislag edsbyn z8,0:32:30
närkamp sirius z6,0:32:59
skott täckt sirius z2,0:33:09
skottyp utifrån siirus z2,0:33:17
skott utanför sirius z2,0:33:21
skottyp utifrån sirius z2,0:33:24
utkast edsbyn,0:33:26
passning straffomårde edsbyn z8,0:33:43
närkamp sirius z7,0:33:46
närkamp edsbyn z6,0:33:58
brytning sirius z8,0:34:05
skott utanför sirius z2,0:34:26
skottyp utifrån sirisu z2,0:34:29
utkast edsbyn,0:34:34
närkamp sirisu z4,0:34:36
närkamp edsbyn z1,0:34:41
passning straffområde edsbyn z,0:34:59
skott edsbyn z8,0:35:03
del,0:35:06
skott utanför edsbyn z8,0:35:08
skottyp inlägg edsbyn z8,0:35:12
utkast siirus ,0:35:14
närkamp sirisu z2,0:35:19
frislag sirius z1,0:35:26
närkamp edsbyn z2,0:35:36
inslag sirius z4,0:35:48
passning lång sirius z2,0:35:59
utkast edsbyn ,0:36:00
brytning sirius z4,0:36:08
närkamp sirisu z4,0:36:17
utkast edsbyn ,0:36:24
närkamp sirisu z9,0:36:41
inslag siirus z9,0:36:50
oassning lång siirus z2,0:36:54
närkamp edsbyn z2,0:36:57
skott räddnign edsbyn z8,0:37:11
skottyp utifrån edsbyn z8,0:37:16
utkast sirius ,0:37:19
passning lång sirius z2,0:37:33
närkamp edsbyn z2,0:37:36
utvisning sirius z6,0:37:51
frislag edsbyn z6,0:38:14
passnong lång edsbyn z8,0:38:27
närkamp edsbyn z4,0:38:36
närkamp edsbyn z6,0:38:51
närkamp sirius z6,0:38:59
närkamp edsbyn z6,0:39:05
närkamp sirius z8,0:39:16
frilag sirius z9,0:39:19
passning lång sirius z5,0:39:29
utkast edsbyn ,0:39:38
frislag edsbyn z7,0:39:55
rensning sirius z8,0:40:20
frislag edsbyn z7,0:40:25
närkamp sirius z6,0:40:36
frislag sirius z6,0:40:44
bolltapp tappad sirius z5,0:40:56
brytning sirius z8,0:41:06
närkamp edsbyn z9,0:41:11
skott utanför edsbyn z8,0:41:19
