event,time
frislag saik z1,0:43:44
utvisining 10 iks ,0:43:54
passnign straffområde saik z2,0:44:03
rensning iks ,0:44:05
rensning iks ,0:44:12
närkamp iks z4,0:44:17
närkamp saik z8,0:44:26
straff saik z2,0:44:39
mål straffmål saik z2 ,0:45:27
saik z2 skottyp fast,0:45:31
avslag iks ,0:45:46
bolltapp tappad iks z1,0:45:56
utvisngin 10 iks ,0:46:10
passning straffområde saik z2,0:46:30
hörna saik z1,0:46:37
saik z2 skott täckt,0:47:12
skottyp fast saik z2,0:47:16
stop,0:47:17
