event,time
utvisning 10 iks ,0:48:10
frislag fri z4,0:48:42
passning lång fri z2,0:48:45
skkott täckt fri z2,0:48:51
skottyp utifrn z2,0:48:55
närkamo iks z4,0:48:58
mål spelmål iks z8,0:49:06
skottyp dribbling iks z8,0:49:10
avslag fri ,0:49:33
stop,0:49:37
