event,time
skottyp utifrån iks z2,0:36:28
boll vi,0:36:30
närkamp iks z5,0:36:34
passning straffområde iks z2,0:36:44
utkast vi ,0:36:47
frislag vi z4,0:37:23
passnign lång vi,0:37:38
utkast iks z8,0:37:45
passnign lång iks ,0:38:16
närkamp iks z5,0:38:21
närkamp vi z5,0:38:23
utkast iks z7,0:38:33
passning lång iks z2,0:38:49
utkast vi ,0:38:52
frislag vi z6,0:39:15
passnign straffområde vi z8,0:39:55
skott täckt vi z8,0:39:57
sottyp inlägg vi z8,0:40:01
boll iks,0:40:02
brytning vi z4,0:40:27
bolltapp tappad vi z8,0:40:35
40 iks,0:40:46
passning lång iks z2,0:41:02
boll vi ,0:41:06
passnign straffområde vi z8,0:41:18
närkamp iks z8,0:41:20
brynting vi z1,0:41:36
frislag vi z8,0:41:53
passning straffområde vi z8,0:42:33
skott räddning vi z8,0:42:37
skottyp inlägg vi z8,0:42:41
boll iks ,0:42:43
brytning vi z3,0:42:49
närkamp iks z3,0:42:53
pasnsing straffområde iks z2,0:43:01
närkamp iks z1,0:43:10
frislag iks z2,0:43:31
utkast vi z3,0:43:45
närkamp iks z7,0:43:54
närkamp vi z4,0:44:12
skott täckt vi z8,0:44:51
skottyp utifrån vi z8,0:44:55
passning lång vi ,0:45:01
stop,0:45:09
