event,time
frislag iks ,0:43:36
närkamp iks z9,0:43:47
inlägg iks z9,0:44:15
del,0:44:18
inslag iks z9,0:44:24
40 iks,0:44:30
närakp iks z7,0:44:48
mål iks spelmål z8,0:45:00
skottyp iks z8 utifrån ,0:45:04
avslag gri ,0:45:23
rensning iks z2,0:45:37
utkast iks z3,0:45:49
boll gri ,0:45:56
utvisning 10 iks ,0:46:04
frislag gri z5,0:46:38
passning lång gri z2,0:46:46
närkamp iks z2,0:46:50
inslag gri z1,0:46:52
passnign straffområde gri z2,0:46:55
närkamp iks z2,0:46:57
rensning iks ,0:47:09
utkast gri ,0:47:23
bryntinig iks z4,0:47:28
närkamp iks z5,0:47:36
frislag iks z5,0:47:38
skott utanflr iks z8,0:47:57
skottyp utifrån iks z8,0:48:03
timeout ,0:48:07
utkast gri ,0:48:38
närkamp iks z2,0:48:53
närkamp gri z3,0:48:56
närkamp iks z3,0:48:58
rensning iks ,0:49:02
passnign lång gri ,0:49:08
stop,0:49:11
