event,time
närkamp iks z2,0:40:19
rensinig iks ,0:40:21
passning strafforåde eds z2,0:41:09
brytning iks z2,0:41:11
inslag eds z9,0:41:20
passnign straffområde eds z2,0:41:39
närkamp iks z2,0:41:43
mål spelmål iks z8,0:41:56
skottyp inlägg iks z8,0:42:04
avlsag eds,0:42:37
passnign lång eds ,0:42:50
utkast iks ,0:42:55
hörna iks z7,0:43:18
iks z8 skott skott räddnign iks z8,0:43:48
skottyp fast iks z8,0:43:51
utkast eds,0:43:54
passning straffområde eds z2,0:44:19
boll iks ,0:44:21
närkamp eds z3,0:44:25
hörna eds z3,0:44:27
eds z2 skott utanför,0:44:54
eds z2 skottyp fast,0:44:56
utkast iks ,0:45:00
närkamp eds z3,0:45:20
frislag eds z5,0:45:28
mål spelmål eds z2,0:45:44
skottyp centrlat eds z2 ,0:45:47
avslag iks ,0:46:06
passning lång iks ,0:46:14
utkast eds,0:46:16
utvisnigng 10 iks ,0:46:27
frislag eds z4,0:46:51
utkast iks ,0:47:08
stop,0:47:10
