event,time
passning lång iks z5, 00:38:11
utkast fri z8, 00:38:12
utkast iks z2, 00:38:32
Brytning fri z9, 00:38:42
frislag iks z5, 00:38:52
Närkamp iks z5, 00:39:27
frislag iks z5, 00:39:30
Brytning fri z5, 00:40:27
Närkamp iks z2, 00:40:40
skott räddning iks z8, 00:40:57
skottyp dribbling iks z8, 00:40:57
passning straffområde iks z8, 00:41:3
Brytning fri z8, 00:41:04
rensning fri z9, 00:41:12
passning lång iks z5, 00:41:57
offside iks z8, 00:41:58
skott täckt fri z3, 00:42:22
skottyp utifrån fri z3, 00:42:22
Närkamp fri z3, 00:42:29
bolltapp passförsök iks z6, 00:42:34
skott utanför iks z9, 00:42:39
skottyp utifrån iks z9, 00:42:39
utkast fri z8, 00:42:42
Närkamp fri z4, 00:43:19
passning lång fri z5, 00:43:24
utkast iks z2, 00:43:29
passning lång iks z5, 00:43:51
Brytning fri z8, 00:43:57
Närkamp fri z7, 00:44:02
Brytning iks z2, 00:44:12
bolltapp passförsök iks z2, 00:44:15
Bolltapp tappad fri z1, 00:44:37
utvisning 10 fri z7, 00:44:50
frislag iks z7, 00:44:50
skott täckt iks z9, 00:45:38
skottyp utifrån iks z9, 00:45:38
hörna iks z9, 00:45:40
mål hörnmål iks z8, 00:46:35
skottyp fast iks z8, 00:46:35
avslag fri z5, 00:47:08
stop, 00:47:10
