event, time
Närkamp bol z2, 0:38:25
Närkamp iks z9, 0:39:05
Brytning bol z6, 0:39:25
inslag bol z6, 0:39:27
frislag bol z9, 0:40:00
bolltapp passförsök bol z9, 0:40:14
bolltapp passförsök iks z2, 0:40:24
Bolltapp tappad bol z5, 0:40:37
frislag iks z1, 0:40:51
Brytning bol z1, 0:41:25
Brytning iks z8, 0:42:00
Kontring iks z8, 0:42:01
hörna iks z3, 0:42:20
skott täckt iks z2, 0:42:49
skottyp fast iks z2, 0:42:49
Utkast bol z2, 0:42:52
Brytning iks z3, 0:43:28
passning Straffområde iks z3, 0:43:32
skott utanför iks z2, 0:43:34
skottyp inlägg iks z2, 0:43:34
Utkast iks z2, 0:43:35
Närkamp bol z4, 0:43:51
Närkamp iks z7, 0:43:57
Närkamp bol z7, 0:44:4
skott räddning bol z8, 0:44:14
skottyp utifrån bol z8, 0:44:14
Utkast iks z8, 0:44:17
 passning Straffområde iks z1, 0:44:36
skott täckt iks z2, 0:44:41
skottyp centralt iks z2, 0:44:41
mål spelmål iks z2, 0:44:45
skottyp centralt iks z2, 0:44:45
avslag bol z5, 0:45:18
passning Straffområde bol z8, 0:45:49
skott utanför bol z8, 0:45:53
skottyp inlägg bol z8, 0:45:53
stop, 0:45:58
 
