event,time
mål hörnmål gri z2,38:42
skottyp fast gri z2,38:42
avslag iks,39:14
passning lång iks z1,39:20
närkamp gri z4,39:25
bolltapp passförsök gri z5,39:30
brytning gri z5,39:34
frislag iks z3,39:10
passning lång iks z3,39:54
passning lång iks z3,40:04
boll gri,40:10
närkamp gri z4,40:13
inslag gri z4,40:16
passning lång iks z1,40:28
boll iks ,40:34
passning lång iks z1,40:40
boll gri,40:45
passning lång gri z6,40:55
boll iks ,41:09
passning lång iks z3,41:15
närkamp gri z9,41:24
inslag iks z1,41:45
passning lång iks z1,41:55
passning lång iks z6,42:07
boll gri,42:10
närkamp iks z3,42:25
brytning gri z9,42:34
passning lång gri z9,42:37
boll iks ,42:42
passning lång iks z4,42:46
boll gri,42:50
närkamp iks z2,43:07
närkamp iks z1,43:10
frislag iks z1,43:13
passning lång iks z1,43:19
rensning gri z9,43:24
passning lång iks z5,43:30
boll gri,43:39
boll iks ,43:56
passning lång iks z6,44:07
boll gri,44:11
boll iks ,44:30
brytning gri z7,45:24
brytning iks z5,45:30
bolltapp passförsök iks z5,45:35
brytning iks z5,45:44
mål spelmål iks z8 88,46:00
skottyp inspel iks z8 88,46:00
avslag gri,46;37
stop,46:40
