event,time
Närkamp Ham z2, 0:34:21
Rensning Ham z2, 0:34:22
Skott täckt Iks z2, 0:34:27
Skottyp utifrån Iks z2, 0:34:27
Passning straffområde Iks z3, 0:34:33
Rensning Ham z2, 0:34:35
Passning straffområde Iks z3, 0:34:43
Brytning Ham z5, 0:35:10
Närkamp Ham z4, 0:35:15
Brytning Iks z8, 0:35:22
Närkamp Ham z8, 0:35:22
Passning straffområde Ham z7, 0:35:28
Frislag Iks z8, 0:35:32
Närkamp Ham z5, 0:35:49
Närkamp Iks z5, 0:35:53
Närkamp Ham z5, 0:35:55
Närkamp Iks z7, 0:35:59
Närkamp Iks z4, 0:36:07
Bolltapp tappad Iks z5, 0:36:19
Närkamp Ham z5, 0:36:23
Närkamp Iks z8, 0:36:38
Närkamp Ham z2, 0:36:52
Inslag Iks z1, 0:37:05
Passning straffområde Iks z1, 0:37:17
Utkast Ham z2, 0:37:20
Passning lång Ham z2, 0:37:25
Utkast Iks z8, 0:37:30
Passning straffområde Iks z2, 0:37:40
Utkast Ham z2, 0:37:41
Mål spelmål Ham z8, 0:38:05
Skottyp dribbling Ham z8, 0:38:05
Avslag Iks z5, 0:38:41
Passning lång Iks z6, 0:38:51
Brytning Ham z2, 0:38:52
Utkast Ham z2, 0:38:56
Passning lång Ham z2, 0:39:06
Utkast Iks z8, 0:39:10
Närkamp Iks z6, 0:39:47
Passning straffområde Iks z1, 0:39:55
Brytning Ham z2, 0:39:56
Bolltapp Passförsök Ham z1, 0:40:02
Närkamp Ham z1, 0:40:05
Rensning Ham z1, 0:40:06
Passning straffområde Iks z3, 0:40:11
Utkast Ham z2, 0:40:21
Passning lång Ham z2, 0:40:22
Inslag Iks z6, 0:40:27
Passning straffområde Iks z1, 0:40:46
Passning straffområde Iks z3, 0:40:51
Skott täckt Iks z2, 0:40:54
Skottyp inlägg Iks z2, 0:40:54
Passning straffområde Iks z3, 0:41:07
Brytning Ham z2, 0:41:08
Bolltapp Passförsök Ham z5, 0:41:16
Skott räddning Iks z5, 0:41:30
Skottyp utifrån Iks z5, 0:41:30
Mål spelmål Iks z2, 0:41:33
Skottyp retur Iks z2, 0:41:33
Avslag Ham z5, 0:41:50
Mål spelmål Ham z8, 0:41:59
Skottyp utifrån Ham z8, 0:41:59
Avslag Iks z5, 0:42:30
Närkamp Iks z4, 0:42:40
Frislag Iks z1, 0:42:50
Passning straffområde Iks z1, 0:42:56
Närkamp Ham z2, 0:43:02
passning lång Ham z1, 0:43:08
Boll Iks z9, 0:43:15
Närkamp Ham z5, 0:43:26
Brytning Iks z5, 0:43:29
Passning straffområde Iks z1, 0:43:44
Passning straffområde Iks z3, 0:43:55
Brytning Ham z2, 0:43:56
Närkamp Iks z5, 0:44:10
Passning straffområde Iks z2, 0:44:24
Utkast Ham z2, 0:44:30
närkamp Ham z5, 0:44:44
Utkast Iks z8, 0:45:02
Passning straffområde Iks z3, 0:45:25
Utkast Ham z2, 0:45:27
Stop, 0:45:30
