time,event
00:00,avslag 0 0 vän
00:13,passning lång z8 vän
00:19,skott räddning z3 vän
00:19,skottyp utifrån z3 vän
00:19,boll 0 0 iks
00:40,frislag 0 z9 iks
00:57,skott täckt z8 iks
00:57,skottyp inlägg z8 iks
00:57,boll 0 0 vän
01:08,bolltapp tappad z5 vän
01:48,hörna 0 0 iks
02:15,skott täckt z8 iks
02:15,skottyp fast z8 iks
02:15,boll 0 0 vän
02:25,bolltapp tappad z5 vän
02:52,passning lång z4 iks
02:58,boll 0 0 vän
03:15,brytning 0 z1 iks
03:44,brytning 0 z9 vän
03:50,frislag 0 z6 vän
04:25,mål spelmål z2 vän
04:25,skottyp retur z2 vän
05:03,avslag 0 0 iks
05:38,skott täckt z8 iks
05:38,skottyp centralt z8 iks
05:38,hörna 0 0 iks
06:05,skott utanför z8 iks
06:05,skottyp fast z8 iks
06:05,boll 0 0 vän
06:45,offside 0 0 vän
07:12,bolltapp tappad z8 iks
08:06,passning lång z6 iks
08:08,offside 0 0 iks
08:25,bolltapp tappad z1 vän
08:38,hörna 0 0 iks
09:09,skott täckt z8 iks
09:09,skottyp fast z8 iks
09:09,boll 0 0 iks
10:05,passning lång z6 iks
10:08,boll 0 0 vän
10:26,brytning 0 z1 iks
10:30,inslag 0 z1 vän
10:57,brytning 0 z1 iks
11:20,bolltapp passförsök z9 iks
11:32,skott räddnig z1 vän
11:32,skottyp utifrån z1 vän
11:32,boll 0 0 iks
11:44,närkamp 0 z5 iks
11:46,närkamp 0 z5 iks
12:00,skott täckt z8 iks
12:00,skottyp utifrån z8 iks
12:05,frislag 0 z5 vän
12:05,utvisning z5 iks 97
13:06,passning lång z7 vän
13:11,boll 0 0 iks
13:32,närkamp 0 z6 iks
13:37,bolltapp passförsök z6 iks
13:50,närkamp 0 z5 vän
13:50,frislag 0 z5 vän
14:01,närkamp 0 z5 vän
14:20,boll 0 0 iks
14:29,passning lång z3 iks
14:33,boll 0 0 vän
14:41,närkamp 0 z4 vän
14:50,närkamp 0 z5 vän
14:56,skott täckt z1 vän
14:56,skottyp inlägg z1 vän
15:03,boll 0 0 iks
15:32,passning lång z5 iks
15:36,boll 0 0 vän
16:08,passning lång z4 vän
16:10,boll 0 0 iks
16:19,passning lång z4 iks
16:25,närkamp 0 z4 iks
17:27,frislag 0 z7 iks
18:00,brytning 0 z5 vän
18:05,närkamp 0 z4 vän
18:12,skott räddning z2 vän
18:12,skottyp utifrån z2 vän
18:12,boll 0 0 iks
19:20,boll 0 0 vän
19:40,hörna 0 0 vän
20:08,skott täckt z2 vän
20:08,skottyp fast z2 vän
20:08,boll 0 0 iks
20:41,boll 0 0 vän
20:50,brytning 0 z6 iks
21:02,frislag 0 z9 iks
21:02,utvisning 10 z9 vän
22:20,boll 0 0 vän
22:40,frislag 0 z4 vän
22:50,frislag 0 z8 vän
22:50,utvisning z8 iks 12
24:27,brytning 0 z2 iks
25:01,brytning 0 z5 vän
25:10,närkamp 0 z3 vän
25:50,skott utanför z2 vän
25:50,skottyp dribbling z2 vän
25:50,boll 0 0 iks
26:13,skott täckt z9 iks
26:13,skottyp inlägg z9 iks
26:16,rensning 0 z8 vän
26:16,boll 0 0 iks
26:46,skott utanför z8 iks
26:46,skottyp utifrån z8 iks
26:46,boll 0 0 vän
27:00,brytning 0 z8 iks
27:00,hörna 0 0 vän
27:30,skott täckt z2 vän
27:30,skottyp fast z2 vän
27:30,boll 0 0 iks
28:04,inslag 0 z9 iks
28:10,brytning 0 z9 vän
28:17,bolltapp passförsök z9 vän
28:30,inslag 0 z7 iks
28:58,bolltapp passförsök z5 iks
29:28,skott täckt z3 vän
29:28,skottyp inlägg z3 vän
29:28,boll 0 0 vän
29:37,närkamp 0 z8 vän
29:44,brytning 0 z7 iks
29:50,brytning 0 z8 vän
29:56,närkamp 0 z6 vän
29:57,passning lång z6 vän
29:59,boll 0 0 iks
30:33,skott täckt z9 iks
30:33,skottyp inlägg z9 iks
30:33,boll 0 0 vän
31:10,närkamp 0 z1 vän
31:16,frislag 0 z2 vän
31:27,skott täckt z3 vän
31:27,skottyp utifrån z3 vän
31:27,hörna 0 0 vän
31:57,skott utanför z2 vän
31:57,skottyp fast z2 vän
31:57,boll 0 0 iks
32:43,närkamp 0 z6 iks
32:45,närkamp 0 z9 iks
32:45,frislag 0 z9 iks
33:12,närkamp 0 z8 iks
33:34,bolltapp passförsök z8 iks
33:43,skott utanför z3 vän
33:43,skottyp utifrån z3 vän
33:51,passning lång z6 iks
33:54,skott räddning z8 iks
33:54,skottyp friläge z8 iks
33:54,boll 0 0 vän
34:10,brytning 0 z1 iks
34:50,hörna 0 0 iks
35:17,skott täckt z8 iks
35:17,skottyp fast z8 iks
35:17,boll 0 0 vän
35:41,brytning 0 z3 iks
36:34,frislag 0 z7 iks
37:02,hörna 0 0 iks
37:28,skott utanför z8 iks
37:28,skottyp fast z8 iks
37:28,boll 0 0 vän
37:59,brytning 0 z2 iks
38:10,brytning 0 z8 vän
38:14,brytning 0 z6 iks
38:20,frislag 0 z6 iks
38:20,utvisning 10 z6 vän
38:57,skott täckt z7 iks
38:57,skottyp utifrån z7 iks
38:57,hörna 0 0 iks
39:25,skott täckt z8 iks
39:25,skottyp fast z8 iks
39:25,boll 0 0 vän
39:49,bolltapp tappad z1 vän
40:29,bolltapp passförsök z8 iks
40:40,boll 0 0 iks
40:55,brytning 0 z9 vän
41:01,närkamp 0 z6 iks
41:18,utvisning 10 0 iks
41:18,utvisning 10 0 vän
42:02,boll 0 0 iks
42:13,frislag 0 z5 vän
42:42,passning lång z4 vän
42:50,brytning 0 z3 iks
43:03,hörna 0 0 iks
43:32,skottyp utanför z8 iks
43:32,skott fast z8 iks
43:40,boll 0 0 vän
43:55,hörna 0 0 vän
44:28,skott täckt z2 vän
44:28,skottyp fast z2 vän
44:28,boll 0 0 iks
44:58,skott räddning z8 iks
44:58,skottyp inlägg z8 iks
44:58,boll 0 0 iks
45:07,inslag 0 z7 iks
45:12,skott täckt z8 iks
45:12,skottyp utifrån z8 iks
45:12,boll 0 0 iks
45:15,brytning 0 z9 vän
45:28,skott täckt z2 vän
45:28,skottyp centralt z2 vän
45:28,boll 0 0 iks
45:43,närkamp 0 z8 iks
45:48,hörna 0 0 iks
46:13,stop 
